danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,updated_popularity,genre_edm,genre_latin,genre_pop,genre_r&b,genre_rap,genre_rock,key_0,key_1,key_2,key_3,key_4,key_5,key_6,key_7,key_8,key_9,key_10,key_11,mode_0,mode_1,song_age,duration_mn
0.633,0.854,-4.046,0.0432,0.0382,2.83e-05,0.434,0.659,126.026,39,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,7.4301369863013695,2.8726666666666665
0.563,0.81,-2.921,0.0522,0.00522,0.0,0.0846,0.495,129.975,37,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6.465753424657534,4.123083333333334
0.728,0.815,-2.878,0.046,0.00223,0.000317,0.101,0.681,124.019,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6.506849315068493,3.633583333333333
0.846,0.773,-3.503,0.0473,0.0141,2.23e-05,0.204,0.586,124.008,27,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6.178082191780822,3.3407333333333336
0.693,0.678,-7.159,0.0324,0.0154,6.05e-06,0.101,0.404,103.952,73,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6.504109589041096,3.80445
0.678,0.928,-3.66,0.0597,0.0303,3.33e-05,0.143,0.663,116.892,28,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,6.197260273972603,2.502666666666667
0.67,0.453,-11.265,0.295,0.252,0.33,0.117,0.68,135.055,63,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6.468493150684932,3.247333333333333
0.622,0.859,-7.626,0.0636,0.000609,0.746,0.0909,0.442,121.968,36,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6.6,3.63955
0.789,0.893,-4.364,0.168,0.0538,0.0,0.221,0.41,121.956,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,6.178082191780822,2.4012166666666666
0.64,0.838,-4.203,0.0416,0.0588,1.99e-05,0.0424,0.587,124.081,30,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,6.389041095890411,3.2310166666666666
0.64,0.992,-3.318,0.0585,0.0832,0.0083,0.109,0.479,123.951,15,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,6.254794520547946,2.7706166666666667
0.75,0.81,-4.607,0.0572,0.0917,1.59e-05,0.111,0.48,120.038,37,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6.926027397260274,2.8583333333333334
0.535,0.956,-2.996,0.0343,0.000609,0.0109,0.262,0.12,127.984,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,6.1287671232876715,4.445316666666667
