track_id,track_popularity
7BKLCZ1jbUBVqRi2FVlTVw,87
2IDHoSlbG0CKH9rhq68wTb,37
60wwxj6Dd9NJlirf84wr2c,79
6kPJZM97LwdG9QIsT7khp6,70
3ebXMykcMXOcLeJ9xZ17XH,76
7iNIg7XDEaYECfWD5dJ9Va,70
6cy3ki60hLwimwIje7tALf,69
5N5k9nd479b1xpDZ4usjrg,71
0qaWEvPkts34WF68r8Dzx9,66
6jq6rcOikCZAmjliAgAmfT,58
762UXiwEHYY97VL45sAUPR,52
6RUKPb4LETWmmr3iAEQktW,87
7ef4DlsgrMEH11cDZd32M6,80
3zU9rdflI65tK4dkkNSp77,74
12GEpg2XOPyqk03JZEZnJs,66
4kte3OcW800TPvOVgrLLj8,69
0lYBSQXN6rCTvUZvg9S0lU,88
3vv9phIu6Y1vX3jcqaGz5Z,81
2QtJA4gbwe1AcanB2p21aP,68
1BltsyC5W3SAABdxyrDXwi,2
3tTYxjYYcXFqFXA0AZ1Fav,35
09CtPGIpYB4BrO8qb1RGsF,86
0azC730Exh71aQlOt9Zj3y,79
4h8VwCb1MTGoLKueQ1WgbD,10
0E9ZjEAyAwOXZ7wJC0PD33,78
0lHAMNU8RGiIObScrsRgmP,72
0n8ob8S72lvznoVfiwz4qL,14
4r6eNCsrZnQWJzzvFh4nlg,72
0GzmMQizDeA2NVMUaZksv0,54
1MlAkYV0nbRKWhhfvTt3zc,44
1WkMMavIMc4JZ8cfMmxHkI,72
7C7yqFTM0ncyJ04GIKrxdV,63
0WfKDYeUAoLA3vdvLKKWMW,3
22mek4IiqubGD9ctzxc69s,77
61ZM92T2zaXIVsqncThQzC,59
6TnxdnJcZIwCWiCHq5Qds0,0
2aFAmDBycyEnj3lcS95JMe,30
0Npijoc6ZcUe1devUugKvI,0
5gwLIRjGFf3hXuHoKEsWLg,64
3d4lc8esnUl7Bx9J9d9oty,33
0U6bQIAh6MCGo1xjbIIx2S,56
3oIVK7arAFuUOCGafPLxSC,49
2I4jAMEOEUQD5V1byYCqNS,10
59QmL8ygKtVfMHmPx3GaBX,23
5EdYlCWou17k0N1PADLKfO,39
5MvsfUN0H79C24t3fPepeL,26
7CHi4DtfK4heMlQaudCuHK,70
1CW7tYkpJ95c7bQkRf6CcK,40
4bSFPMXKYaCoBhzJv276zl,0
5AFrctm65wWIqJsjHPPx85,45
3DsjHcLYMExprXJECT4QQP,0
7FjZU7XFs7P9jHI9Z0yRhK,64
5ijpy4l0nKZPIKHui6SQfE,0
6j8eH9frh703HaGBaSRS6u,12
79Vz5MNH7Qe4F7hPKT8tPz,48
65mOk4n0tfrMysFXu12ufx,0
4w5Grfxx5Rpup6mo5v6bW0,57
3uiQZlSlSDRduWLFBTSEot,0
29ikXeGM6kScvhvqfvgiwO,16
2Eld7kejX6FH9OptVyKQak,8
3BOcWxFUURAomDXRSDFve4,37
4YhN72dRYL2Z3MsaKyT7rS,53
7DQ5CZjAQdhgDgdnSXxJ7Z,38
2aXA9aQfrqaOi1Wy3NfSZI,0
62XCV3AmCMkPa9X5mCim8O,20
5llPdGZJjJFJv9aL6ZaiLY,35
7pWK1kMgHy5lNNiIfuRbkP,57
2W9pBY75aWOV39S73mqqbn,0
1JxQmgCEipmHCUiJS568pE,36
6pu5jQqenr37n0z6eBKOh0,23
3RBk0P36O7wCMxF263jRJL,30
4uRx3SdWG2cNVfRNVPwHDS,38
3ZRgqoTb7pVO11IxcKGtMo,18
0DhkTGjEaIHaSxTfC14BFm,0
4nx4h17pRj1ikT0hZecR8z,37
1tq4UL9BB7BHuT6eorlX3X,38
4TIkSdsNSfqpuq6ZYvCjAz,60
4P7F3kb2Ze1YleD6lUYwJo,37
3qeJ84Y6PRS9LtliOuT94Z,25
7sYAS4CpbV90oSemgaEQat,61
1CRy08G60mS5jvhB27xMpS,54
02itaCXOdC54J0ISjqqFAp,71
52EB2Gk1nkxZmbomJOXUde,46
4Jwp3yjIQfudmjuctLQlfJ,30
7N06jo3EnV792VFaG8vuW6,54
517cAnPxsaxfrkKHHY41wB,4
3GT2CBmJWIEdCpHiB31WYK,49
7fPuWrlpwDcHm5aHCH5D9t,2
1rRWFc2p77FYyb67m5YeVO,41
1LDDUVvutZ3qxvnOrulCBM,26
2wOVXsIRIoniqipE9I5ZVx,47
0byab45cmZntz74RxcASrf,0
4ciBIS83LHQpKf4noVKP51,26
19TOAlTFq0NDHvUPQR0tkr,54
6VP3410weACXiPCVLKSkOb,41
5ql2mP9FUhB3SgMzv2akuO,43
3jwQwGVERUXo7eaAgL1xAo,39
46W9iEjOg5nkMvb6lo4Jwz,0
0GRoERSBBky3YgdKW2w2Vc,46
3sHuIjfAzluc6S9cXoqfqC,0
4fK2NU9UyQJV74ZGiSVYsr,42
0jlpHhGUFn4aAWLsRRnwep,29
2pMntGuRgHAHVtrpC6kgGy,0
7EHCt2jdVwHp557sfMPosf,28
5YN0zHycJ0Yxz31A5QsVov,48
14nIFzHQf1OBWf6VHVR8DF,0
14sOS5L36385FJ3OL8hew4,64
23FHa9lYnG6Dr8OzombPkS,0
06BrHnTVDOydsfg0LZ6mQb,36
1YSwQvw1NrEPfA0j1iY8eV,22
1FlIzyCvRFQUE4pc7PiaIo,44
3eW2EDwNRAiQKkgom96dUa,0
1k08GK7ox8SDmEMvn81TwU,34
4raMIjIjMc8JohHth7l9lG,55
52Y5nYBQgqawttJxxtUv1e,45
4R7ZSlYoJOIaxHJFHszQCR,0
3N9YuL395rE4qNyHMsvOWC,27
6dX62wjTHi9F1srVTjV89X,0
0JumfyG7GUshFjxouEXwhw,33
3Iee2uf8UXOrOupQzfs1z5,0
6jreFSOTUAViWjKyzOC4Kg,64
5Qnk8vP5g9l5SDQKU3qyYQ,0
3Mong1BzxMKwTZ0SbfLdcQ,41
4huh5oqBz9RkgpzAkyuEAs,14
4Nu8sEejt46770gDUvFcrF,35
1IjuevPDJ8Sa97wFwQ5j4V,0
4d3cCNTG3PUgWhPButc4N7,25
7r4nPsLToVIPdsiEeZKF6Y,35
4Tvw0lweq9l2JPQKFbpbBQ,56
1yAPglN5AGf7UoLK062ZYq,54
4IAd7Vdwcc1E86P15tXjca,35
5qiQbOa6AFEO3P111y9Jry,53
7nbVbGjifh0m2fhPYqcI1R,0
5NeFmsnXBy6xVbz8pesM5l,44
6fvbl9D9VjMtLRQsuWPyYt,0
1MgpEKnO6sgMTb5zumAsgn,24
06Z7Hy2LUzbcSFmWzwkun1,24
0EdgK7ASb4kfRkW8pVMN02,44
2gqzTQEn4g5ly0n5ScdMx0,35
36orMWv2PgvnzXsd5CJ0yL,63
6DuE8kXIDJ3oiCibWXmgeN,29
5up5uXChMJLKyuop9HwtCb,0
4AMY0oGSt7vZwgxDnHCJBr,48
0VQUyufAldw4Eitv71TPmg,38
0EQeui6OBMzqJ3Z3wCOzZh,36
1o9D0rUusi2V5idyOEOPII,50
2neq77lIMkitQwBwy1EDng,36
5ow0sNF1zSqp71Ix5jEXWU,2
0vrmHPfoBadXVr2n0m1aqZ,66
0o9bHFc8Lt5tZFvTjNZTNf,44
3oN9prOZJ8jR6rFP4YMJF9,40
0Qew3aYvQPGPjfL7gbe6x1,43
5naYe7rLMZcLfO1DKg48MK,64
3LaQ1GajOXoUeiTA9UAcCK,0
3DGar7krWlmrXRFHBcQF6z,55
5VGBgPVFO3e0lWz4WHYntQ,54
6sYJuVcEu4gFHmeTLdHzRz,4
3eS1VMcEmq2IUgpaeDysCb,54
4fCAOaMs0PYL58OijKp2IS,0
2mSIu1ZPo22Ihx3EwS4E6h,49
31OqWK8Lc6GnUbnLG3GqPX,1
7rpyHKSH3dkrsKEgv1eNgv,39
5CpkVOosLFc83LbwqO6hnI,53
3cJEgWbsBmGkvXz906tgut,27
3ZqKbMO9UasuKgQeGT7QZS,29
5mYNWSc1AE7pWS3Ax4e8Dl,37
6SRWhUJcD2YKahCwHavz3X,74
7Feaw9WAEREY0DUOSXJLOM,70
7K7MUBCnzgBAvMVW2RTWNs,4
47dABAPyBgKB3iQCrC4Vrv,44
6vRCKJDtnrJEcyyzIMa0w0,56
4BM4ml3TgBFALLaCaJtVhi,36
4D3o6Hh3GydRpTTlyLP3D9,0
3R6dPfF2yBO8mHySW1XDAa,56
164C9bSF4ryqWXI4XgxTE0,45
4fC6tDEFmSBBCRBUOPeQ8b,35
7lPo7aUbqNz5qmcan9Oj3F,0
1HvCFAUIWQsWV9zud3UhDl,65
76WNl0hDHHxTUhfLrEIBSm,0
6xTU6B6nFwKKTSZ9ySXS80,65
0jvqmWRCyv7xnxqrtinbHJ,47
5itOtNx0WxtJmi1TQ3RuRd,66
1uuUnsWpJwqBh5GRQ8uxla,37
4DfxFGwreu9BquiLRClwh8,35
6Pgkp4qUoTmJIPn7ReaGxL,72
3R8lr1Y1kPgXEbnXkcMMlT,0
4ESPuOrSsRcBISzcMlzmY5,57
0Zbbxnx4SGGHoIow4PpISP,63
72gv4zhNvRVdQA0eOenCal,79
2kLf4myxQME1Nd0voeKZri,0
4q8PHoRsPUB52LFylX8Ulz,3
2devxXJUTEIFmgt8cXaqmO,48
0ct6r3EGTcMLPtrXHDvVjc,85
7dOeiXeTSfA1ixaYmQcWu7,64
7jEyX4bqaCSdMN4D4JNnVj,72
6ULQ6ZRc7JuVutRMy6gfgc,46
0FlnsBDwPglenLJoQjPd4K,1
4Vbz3osCh6DwHYv5gVv5H2,61
4OgwXdylh75fHfwUzJTUqg,64
4kWO6O1BUXcZmaxitpVUwp,67
0A5gdlrpAuQqZ2iFgnqBFW,59
0BiGd2FNDQ0eh79ZHfp6tS,45
25sgk305KZfyuqVBQIahim,6
3xE7LrW7P54CYNQYqLhl6J,0
4ut5G4rgB1ClpMTMfjoIuy,70
0uUNN1nSoUx1A4fkDCWDQ7,2
1byydVLDAt7An5Pk3SuL5j,41
1RxlBxlaJpSEVnLk4Gtvym,0
7IWTIkiWGWNQyYfOLdMrGD,56
67FPUOM5Q2sSvS3iqLxSFs,0
0Qmqhtqco9ifi7ScZh1095,29
2Fxmhks0bxGSBdJ92vM42m,82
0FC7eAz8CW9HAWnBr8Yo42,0
7LYMT7ZaJC6KaKaXod9qNq,1
6fIgsZFtGXiIvxb2Y6oCc7,32
47knrBbYhqtrggWYSkU6h1,40
46x4SztssOJ1KzRjPqVUPk,0
0AKxkfd5NLlWMXCVgH6a6X,0
43ZeyBuql1TboyWE3ElHXj,0
3EKKIR8be1kfAAwaz1fzyS,31
4u6chQOq3h6g03cnPzAxcz,18
5UaEBgRvUPFf5CEDhaTdp7,40
6wigvUlHft5QfkbxmAG5uC,15
3b0cJPguhWOh2hjY6Lu192,48
3QC33AxvY2sdxq22ym3aSL,38
6nsLzJfvp5OLd4mgqUJkpq,4
1fN2cemf6ByT2WKqtumwR5,34
6RnkFd8Fqqgk1Uni8RgqCQ,60
5fEpuvcNvERP7EHtLe28Zy,0
45NYp6HaMbhHNtn8sTnztn,0
7HdHOGbA7uyepn1jbPKqOx,39
49ziHtycEUnbFQtE8e8slt,44
3kGfazcbVvVkuZunzlLgTD,58
2ZEqEHPOhJdkI9pCCW9pBD,31
35ARq65zezGBwA7EHBXm2w,10
1N4n7soiQQ8TRsntrkItyA,0
0XOFJ634crTl8z9N5Gxh2S,0
2OlWBmSjf1aUPGLNf0UI5A,1
6UiDiFJUGEDzkGpZBL8IYq,45
5WvAo7DNuPRmk4APhdPzi8,61
4b2tcjrG1qUkSdsqEFP2dB,68
0KsB4TwgATg88aXCMBoO3Y,57
23L5CiUhw2jV1OIMwthR3S,78
3OEF72iu0qSN75kiw0qP1o,0
4zdQmfTLWgGd5mAX4MUIaX,50
5KVxCdOVauTncDKgK426XN,2
4suDPyEfKYtqDR2OGblbTi,37
7tegFBOVAZADytMG3YIR9o,27
1eIl9qFUGihchPAfSF258T,47
71jxHnEfeDyolLb6Kr2DdS,18
4eycOo0qKubeGx3g29dcHZ,0
0xTWI6HrzKHJ6LK11f8jGO,17
07uivRw9i8NFjQbxZQu6g7,56
1QNoGbedAra3cbGcQAwBRQ,19
3gMJMSrU2QETbsILNuybIh,6
6EfsZW2pPBBDkiBMTGglEi,17
1gdrNesoUadTXNdVaKS2t3,13
0j6HZwmFLvxSoYUrg29IgP,30
2MbrVxNKpsg0bu9LMlPiri,17
2gApWgkuisXedOcS9Tligs,43
5Zjge6yCThuBMdnJdOBp9A,44
34S5Vg3Jxqtjb3dosDWHpH,11
2qpuYv59RVgLKcA0DPl9Tt,0
1SV5ys0BGnN6aEsbS7prwt,18
3t5I7uoAOyRtzkAVaHgmfL,30
1g89JASxN75856KEYGmZTt,15
56FtGMGdOoONvc0XpP4Bm6,0
0HGSn0eFH5LF1MWdE9FOUC,0
2WSYYbEdxtGGo0VVP4jNjb,0
3fzCO5mdnxKvxOT03Ao0RI,21
7Bh4dzYrbYtXbbuvK8M8yE,0
6nfiboYmeoHMxPU05yEQvg,5
4ccp9ytoMerEU0967Okhu6,26
6cAaLUV2fc1b3Qpgc0z3k2,1
6dKOpmTOzAVnaHqq7hqkJa,0
1HDrG1CAVROV1BclXs400N,6
74P2i9IIx0nkki1GVQqx3R,10
3CLKvDKiVgbgfWj3fyyibl,12
00bc7A2CLjp40XNd6ZPZNa,0
7Gb3OZFw2IiNk08fSN7MrR,6
5SubtShpNoLYiVG4oLSpOG,12
5VBMFkU9emR1HDLPoXuOUQ,19
0S1lconF5qUvqUrovZDmSA,22
5QOg6uut1ybakHajEfBL8K,0
7auKfEOsSVCeYHn2pOu6uY,0
64XUlDULbJtK6xDL4mEB0Q,0
0FVUs7Kb4KKl3vsssgZCud,0
0lHYQoSwhIKqUjUsbQygyl,0
0azhsizFhBepOGgcQ3EKaL,9
3b1TJu58AWEiGvnUwDdhag,0
2TFJVb9LL54V5W53qGWDSv,4
7EdnZLYzleCTG6eVJnZbR8,0
1JSkwWA4e3OXlnOEcn0MXf,9
1RJPz4eFFP7N6VVKMYUS7O,0
6GvK5IObiZJs4PyTFJTELk,1
0qnp1W6FnL9qoadgaQdsT8,0
3pzrOuq7Zn1WlL1qes8I57,1
4vid1h1wAzoZoEKJVXoUgB,6
34Yb5ldkgXMieDcFIRQPdh,0
7MsgiyWoerebFF0zaahmCr,0
4EyjvMJ6llJ5stWDlwo8v6,28
5L3FE4WEDdQ0xZYVdN7uvE,0
63f9E8ZTvtcEdqZKHj5Vzv,1
2KJPYFHskvDeuAZ1sbbBys,3
5uHl2eYaITSX6xEX8bmaXy,0
1PNb8pRsZGa8XN1m5nJe70,0
3v5BOhyPrVQN7PYE6JnY7j,0
7JCi89HGiURxFpr6NITY7q,0
6k67RdkVjTZj79c1cRz7IQ,64
7b8YOVV5quZcSKEijDgyWB,2
1Jr8RbuOnvMHsMHcWgZ9Do,0
3IdPtyJHB1WVPM4eCiCAKM,60
42tFTth2jcF7iSo0RBjfJF,63
1UThkKR8w3WnA6lWCRhOJn,32
5WrEilrRI5cIW0DxMvQYPZ,59
24nK8tW7Pt3Inh2utttuoG,65
3BPoSr2pO34Aan6alFfVto,64
00emjlCv9azBN0fzuuyLqy,47
5sbooPcNgIE22DwO0VNGUJ,48
06mzeP9GQNSHWd1Nh2C5FM,36
5KawlOMHjWeUjQtnuRs22c,2
06Pvy98db25O7wlfFFFIRM,0
6E7jAJN2e3znSHyPCdQqx8,57
2AIWoHr9DF6y4KALCBKWQS,1
7Ed6BkggCS2KaKY5YlINaF,1
27kB4qLUCV8nZd2eOgj1Tk,0
7LJjWqhqK594nN7qJzLVXE,0
4WuKHgxdCJsaOBIh7yndty,0
3rOEipqoZpjyn8PtOMeV8k,22
0ErzcmZ2gIwX7X0xSMQPix,60
2naEVOadudtXHwtZNfjMDM,0
5Z4aqpT39KpY8gbHoJWdou,1
2U6RSyXFnDVNYoD9iUgi09,51
5SE57ljOIUJ1ybL9U6CuBH,1
6DIW7GJbuGZdHolRcPWprP,57
1S6zXoXhfalX2ETKo337Md,0
1q3C6brbmRrULTyo2mseKF,0
7gr57cYekMWriyJYbT7oZ4,58
7Cd4glTUgV0vr0DBncEg8S,0
7w3mCZJZbfXzNebD5vktMI,48
4Is1b37KJY9XVCgzp81FBW,59
3nXUfNbkv8ikaSdHwEp0oY,53
5MaDeMdqsPsZTxNWdEZPVH,0
1gsb4CFzUMERAkfzAKwrZu,0
0xHgclG2TeqIzB8N3Wb5rP,0
5gA9Xn8oPts2aewPgxVkPD,52
3NxuezMdSLgt4OwHzBoUhL,69
5unCIQfJLMtcsiU6MP5zmB,45
0dSE54vYYvRNWzVTxE2xTL,44
3sygLAUhHsJsQ0cBk6fxRd,46
1LShDXXs40R8bQFNBBupI3,0
0aLG42zaidNkblhiQgJknP,54
7qDbAc6xMW07T7yyMnQqS8,0
4lt4QTuoYOEEOhrNDZJ1o8,34
381g0b6QZxC13SzA2HRMIc,54
6sWd8ZAH5bWWyjwb7ZV2Zb,0
1IzuuPDzqh3dfKxilHbGYU,20
4knqZHNHlEBBEmfETcpTyr,42
0dHWWPN5XGWotUnM57QQZK,0
0m3W71Oliiv3gQWXi2YAmJ,44
0gxkqxGiLg1ylKzgToCcHY,38
2WDhYlm5gBepkMZHBk0LN7,0
3eOrrreH5zbp4xpfiFqy2D,36
4tYLk5axtAxynbehhU4uJn,19
