track_id,track_popularity
5mWSVCgeHbSmTmuMV5ES3S,0
2Ee22x5KHPEvrGBIx9AdOb,0
3y4YUioQQVCZriM2RjZIik,0
28qOm0MgUE3hJfO6i84Jls,0
6cAbJAh1AeYBLAMurtyNqM,0
1t9LPKYNjcFPTWa2moPE94,0
7a6DXdC46FGSCNT4hLxbAe,0
4XJf9EhLAiYkGeuGHlqjzB,0
7HRv1sYuwgoea1m0JRvChV,53
3Xvu5uFWbyHd0qixrvIxxE,33
4m2lVqfPeSTD3azgBJHowK,41
0oLQRGhq7ltPDF6ThfqQdc,36
5Jp0avXwxgYt75sjxQJxWw,40
6ntPF24RtHotzc3FhcFMH7,36
0yvxop3XdQyWStwvuYP4dw,35
7ttVZD2510CE1pXJPJp0OQ,39
5bknBRjKJZ643DAN2w8Yoy,57
1cuYCAodLWgzhwE2KFZ8rC,52
42tBlHWL3VfDkUM2iWcc5p,51
5sbw5zIz9ck2pOEDXUR0QU,1
0J9EZZN0znLQQHdN0psE1g,14
7obSMoAYdFApm6TDwOM2PZ,21
45rfO1iWBUwA8Ax0M09QrT,25
0OMUfNVJpO1XvNkoJGYd0O,33
5u0qHECqaCuSKflvmhrtil,33
3ioO1rdo59SI3LJHMXFEiU,35
5r42z9LpkdDAYe3bmbnO5M,8
6xCRvXyriAqWq8NriGPJfs,34
11JVoLR8rZUJWH4a7kteMK,18
463AfXA68pQHMNkwwcufP0,13
200EPjGjnQegQd7ELfUFrs,0
7vxc1a4aks0RqIbNhBYjlg,0
2uzCfFYh6tSNFdz14ZIf3N,59
6ydEhrdfzhI29D2NBAqUY1,49
33FybgXmvArmqOSM82z2ow,38
6T9Cyj2tFiV1epQbQm0Gb2,23
2OGNgRsvLuSHTUUkrrgc0R,0
3S6t72eOWJs6NCAosqrCq5,38
1mpeG0e0lTxMRvgjSLrhnR,52
3hwRqmhC1gL2Ut6OMtKbQJ,12
1Oof977AMg2ZHlTPrLAIgI,11
3w9iGq39HPSn0b2ruJzik3,14
5o8h9JDwdkyxA7AabSz2FU,0
6TKdsVl3GeAJrcuTGbvUzq,40
4nrQmXHiGhlWDyAnsbb6gc,0
7FatiZGYaVwy0QnUcgPwLq,0
1vgkVUPdCcsqc0Y15TuFH8,42
63knvuoSPpfzIwdDuWRSoV,57
4iImxqMlF3CeNRwKKua9jn,55
5fHXbmrx8mfOT1wfSa1Nc8,37
0NqLrzqEqIzb8OcdFOzkJb,0
26BZKHORndZbXNbulXZ8UF,0
5iCaLR191eAHNxxlfKzK9f,31
0O8Gf1dTGNbEaSYSGk1pcS,38
7kdvfkBv1j9PbzsQNny0lu,39
0A27Pm1SdsQbceOPH2m8SU,40
7G8AYvlLgDNnjHfWL8YikF,12
2SawBpFFv3ue4S6TVaGamm,47
5RYSQDIq0ZPGc03ZnUut57,0
4lc937nnV8vRbIF7oJznNU,0
2L8CbWUKw6STcElCxYcZHS,0
7dSU9DPF6AhYENKM1bdufQ,31
51sRQEtuLqrbeQVwoyMUPe,25
2YhAlfB2WvSGyRxF2JC1Sw,20
7jcSwq8YsO0zwbvQ9Xat4e,0
2ZI5JFjnSKm6Od1e6VMR0B,26
67WdnyyuP67Y2W4kG4lGrS,45
4SsDy47nzkU9FhqZkjPXvS,19
4jvMuFxN3HVhVU6pz3vVOH,0
7ga3miIC9Hew9g4M3BsL4Y,0
18dnWJuAG1QkexryWE4lhW,0
3GXo1eWlT2flv4x01l5OTu,61
6UkMcAA19lTdjs22jtB7o2,63
3APlBPXmTYV1yZO0dngkdq,0
1NeKY4qWsCnhY8fvhwQa7q,53
5h2jt8xsUhW06rFv9HvY7N,2
4hq0S6wznq7SHDyMOFXL9i,62
1o6DclZHw0HomxXEQR1ijX,55
4KcE3At063Xyleg2xGzVYz,39
2wibvZtPbMFbZf2lOwnzeK,45
2LUVo82IKIpCuBNSaqF0G8,48
3qIFYKztoCRa8I4a5J3BLF,0
7g4I3DeFlZLeqMjw0ONBqs,51
4YOJFyjqh8eAcbKFfv88mV,65
0CmIALzGn4vHIHJG4n3Q4z,0
4pW3aTX3kAmOaPJfc9UM12,60
6oKyVzTqcAq9UE9HeIfo2E,0
20JcxdRw8gvqTY1EEpYxHb,60
6MILn8ouz7GyrutoOLzWIF,8
7eu8WlAizBndJ0aOpOyNka,51
5qyq1H5OPMlfuvZQ1wQNo7,66
