track_id,track_popularity
3WXfQDsASfXrSojk9WB3aR,63
5o0WVQVV5bxs13WnWa3mVo,8
13PqqV8pIb6XpdZ85CACxF,42
6B9r2hH46YbSEvnivmeF5C,54
4P0EVqfv3bAlghLra4ueOv,0
0n7NOq4PbMute1OWyAJ2hV,0
3bleyyGEiQNGsvbbFK8u9f,27
0z1jqSzPEiblIxozrI9Tto,0
2e3fohSwZ9nU6Q2tks0fFz,0
1Ql6nNEgjJbVo52HeDUV2Q,34
6VZ9ABcY9QeQSxOjZwLrVv,25
2gYCWZ8uaR3X0QCiRaAujn,0
5AQ5u6zEpcHqwnTuYFesR9,0
3syBpDXkA7BCbOhbWLwEFx,0
41QntlFUOHpf51ctSJHMNZ,21
2comgM8wcrT3UbA2DFk5UX,0
11WuRl9efXTiWYtvB2y8X3,23
5VUR4MhJWAbp2ZHtSDvwJ7,8
3cd2IMv32gIoFO1aexTCh0,0
0iZzWrpdwwFrynCW0bmyVe,0
26T9IOS6Bi9iOUjKkcZsZo,56
6hwmqR7uQhytLnJzt1RVPF,49
3dgMqErrCJWOmSsSBETEiD,0
2yvjjJrWzVzA2zg4VsoEmo,78
03r8a51GORTXZSBCaiGILV,30
6poj56vC9JUu1yHTsv92WA,0
3esLMWVvotR95tEwAKkU6j,27
3uz2tyLRgSzSlhOIXCz0DB,52
0VQr4Bv3aRRK2ybbN2n5xG,0
4KGzk03tmRmFmujHBtvtzH,32
23AlECRNyoiDwmx9o9E0tD,16
6EF2wGmHfnKSVjR3t6Ufwd,42
7wzsI1Gca3y33WE2FhN45m,36
2gGGapSjwJUMTFZ3TUBZ1p,0
2CZp6sRzNcCPkvnrzy89bF,0
6aommJFM8i3iT4inKuDSXh,78
6AEHWKKEglbd8oBJeenGD5,0
4Ko9JaLUvf54PmluMaDCqm,27
2ULleM0ihp3dVsEAzOr7vH,0
4RG27Wgxju2byhrb51krk6,0
3h3L1IArPewYKXLgb6YLX1,0
1XVG9J4jQRg3Ox7WHM6ztO,0
1uWgQtByTaFLR5ld2SW3XY,34
43CGfpQS2COhomAP9V6Dhf,19
748Vnqa1Rpwteiarxartiz,31
3rMqitYF1U4IHqEQjWhmJP,30
0HdHd5mJlqFqv8PqAGDsEw,0
69gBnFLDtc2lub6xL0sfi9,46
1VjQClC73gSUPHM0nCmqs5,0
0GARcbxLIOmzrs0lHpuvmi,43
6QcTLtjZUX9Ft2tWly8mYq,17
0is5MOZLNpo5iAY3M0B9ml,44
155XcCEwMrHE3YcJciCnvi,50
4N4STDrAmiZoVLVFGwDXp3,25
0ftQLiC3Whfsb3b6nWAoPK,42
3IyHmgfNBS3CSSP6zsCjQy,36
5jE0RnYQ3cE3oLw59bUnry,0
4y7MogcFeMrp4QXPVHloyB,36
2mR5kqpXgOndUkU58lXpJW,16
3eoegPFmJo2k7eRUR31bSl,15
4kM2u3kyUDSVrL4yfDoXdp,0
4yFh5okeS2u5iO5vAsBsHc,0
4zZU1HHT7TcfluhNFfIyLN,28
39Yi5kzFTB5AsTy0I81aB9,0
6AerfqsL2ISs64dixwrfM5,0
1jecO8NeYLsVWVptITz4c1,66
6Wco7dkgzYPgwnGslPH0P6,0
5XU7fx5eLBb8C3uFYqikrQ,18
4y2wnQgN93puWVDavsMTUi,32
0WXBLLPbYbYllFJWU61hwa,0
3zaKc0uMw4GI7xHva4tjLa,0
4IeogZMcSklkHiUvVj3Rlr,0
2Xr1RQQ15GeaJ7TFa8CTBj,35
3U0VWhffr8bNtIb9NXLsAF,0
1VgQ6AZ8tVV0uhvhH9usuj,0
0JJ8lftt4ce2DldcEpyrIJ,21
0O58u6HNqiSN7UkZVrlN0W,0
5uDvSztILYXh5GF7Ku5gag,0
6dJrnufNiYJxtd4ZX743bC,0
5KFdGVgTD4wLrlUesiWiVc,42
2MMSi1VHFZJPiAvLdjFLtE,24
4f0MX5DNAc2qwP1pSI7YHT,0
3aFgMFP4SZTEmHQS3UAJzw,6
44E4aMwLp8EosJDp8WyQe4,41
5N2I59WWXb2sxyATLkhCLI,0
3E0LxDw9oYZbuTBWRcwBxc,0
3dMj27D6Bt1wBNEJtyFPWi,5
6iucNSMhAZDglVgJ1yclmA,0
0iw2XtkqcydW4BgdsTyH2L,0
7qD0RyUnqjfGLcRO7GMgED,11
2cElznINAHvKeHzv97ZuAV,40
72B3hbvWUv2pFd4h1KkQfS,0
6ikqpsmK1si8HemHsocssD,0
5TVDnNLRq8ABVgfVqVqtsQ,36
0XeSTQIu2LqnAKdOigQUtT,35
2RruTqdyG7KLnGRhY6UNNX,24
4tVCzrJgmTKvCQznIkEPAb,0
0vtC4wOu5qCztrJXvpWwZw,6
09JRFc5o6X3UsQzoF5ICqg,0
2mCJpbOH8h7vwu2oJYFCjh,22
4AaWrj0s8jwkrQZT41aMXM,26
6kHTEuxVOl4281mEvfMpsS,0
5ntc7RlZu43qOqNsHfEseg,30
522ebhSF4Bquf1OtekBokP,18
0mahvpoKOar4XOl8nf23HQ,0
15BhfwZAJVDPufb6O9lMxB,0
