track_id,track_popularity
2f3WDwXxejHffLD7UNS53B,0
6EZbZORN2AfvPbBqOCVwq9,27
6Yis2VwVcABCNVEutLgAf7,54
0WSjVLITbxV6kVXndziQDm,66
3m4vB0q02q4xvBenENEkLw,45
0Xz3DTcdZI01mjKfNZrsC1,1
0MVX5xKgWP77Qtvs72gKSG,0
7ojioEXLKrIQfXP2yucoi7,32
0yHOOuKhe57iSzS2TbxSKN,42
20Q0qLW27rm9Pq2pO1bwzK,53
77eYKxdR0CDNZPhvbHxdUf,52
5vWbWdmyqkLJaOm35phvI4,31
0beDebqQXOwcB9vVxHNXpp,0
0ZHWDL65IDN2sZQugFc6PV,0
3XWVTJyqhr9R8mblP0a1an,0
24fdXM8HLxcim9YwQIKrha,0
5KNL7fdDr1ouo3fg9WrnI7,0
5zkwxlMBoB54mVEfYDthpr,0
4244QYRT9LoYWgTcSyqn3j,0
2l61clqYFYb45B5Yr3nEvQ,0
0dBisL8wLIL89gyzOpHyYV,0
6XxSMvynG2H9yYpvErIFvf,0
1uzd0TxJ190w2TuRm2e5hP,0
1d8wPh7HwSZs4uDMQoeW8F,0
5uSUD9mYTVAcxOr0y95Rk8,0
11HuR1B6pxxEckAvwQTpYc,0
4XzxkvIxyQEZjPNwvtSkO1,0
1YkfmOdaohhFJkCdA3Ix0r,0
09r8YtOvqWAEdpWcJGnzT1,0
2idwuN0c9fSVnOZi3o8xhj,0
1yF3umIz7AeXn2P1bBsg3z,0
75mj5Qjf4kYFqho3Dusaxe,0
5nieWhdPvbkmBTRJWJWzW4,0
79pRu1D778cu9IJ3MG4nVT,0
0eIy2FGcdMJDewVL96R9ha,0
13ayqVFnivJrkVRav7t8d3,0
5UzPKFSNzSDECyZp1L8h06,0
25nHhBVmDmNHWk4rfXhksM,0
3QGGitnEBeHBWA3ykgdMsf,0
7Grf3PB2BWVWsrhW47hwsK,0
5KWnJWNZWmXiCYwJnMZltp,0
1rV6NmBjgjhPX1nwy50SNo,0
41ksghOPftN3m8UBPiM8Eu,0
3Ef6Ea1wYDqA0TdBL0LZWE,0
7iM5QYDBQ6hC0CKUpNgkX9,0
7FGkn6n3yIVyqmx9LUDv7T,0
3PBZIkGHAUZXuJ7t6ewRyp,0
0ZFwhcWziYoDmbD7X1HprG,0
506dJMMkoPkz92gynWj0pJ,24
0Gc1AVYqYOR522Nvz68dsT,51
2RTDwuOYrdVrfest9QVLlP,0
6AE0G24YXnDyEgE4L0efpB,2
3Kl3b2oW6BIQ1yehBpGNi0,0
2NfGnOgsGCDj6nPWblgKEc,0
26UkElAazA0LQQs0auxh4x,22
60bhhX6Jxyldf26yuQKfnP,0
39JXKlaBNWl5WrXgjq7jBM,25
0zaaWhjBOtcxaTFvhL6znM,0
6nn6GW5dMrdx2wYRmHmfyL,0
135TYaJ0WsivC2Zk7MEX4Y,0
